nohup: ignoring input
Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Solving IVP
t: 1.4488821408956678, cost: 19.75121970527779, nfev: 96, v_opt: [-0.02271682  0.00736235  0.00134831]
t: 1.378186469611694, cost: 19.77047929647695, nfev: 84, v_opt: [0. 0. 0.]
t: 1.401241978648056, cost: 19.764073453322204, nfev: 84, v_opt: [0. 0. 0.]
t: 1.4070058559071466, cost: 19.762481128458802, nfev: 84, v_opt: [0. 0. 0.]
t: 1.424297487684418, cost: 19.757762875350977, nfev: 84, v_opt: [0. 0. 0.]
t: 1.4833537552127871, cost: 19.741749737757875, nfev: 96, v_opt: [-0.02827156  0.00652291  0.00121055]
t: 1.5099999503474264, cost: 19.73489871410003, nfev: 96, v_opt: [-0.02245068  0.00781764  0.00141423]
t: 1.6432309260206228, cost: 19.699861405543516, nfev: 96, v_opt: [-0.06900892  0.00276473  0.00077586]
t: 1.6669164328069688, cost: 19.693234154334508, nfev: 96, v_opt: [-0.17668576 -0.00559762 -0.00017899]
t: 1.6965233162899014, cost: 19.686745651266225, nfev: 96, v_opt: [-1.54477160e-01 -4.09554640e-03 -1.96549073e-05]
t: 1.4726952771589314, cost: 19.744624423387066, nfev: 96, v_opt: [-0.01864446  0.00860196  0.00150158]
t: 1.455656642362955, cost: 19.748744014364245, nfev: 100, v_opt: [0.02925745 0.0127438  0.00216109]
t: 1.4631207641366926, cost: 19.74733421818779, nfev: 96, v_opt: [-0.02332819  0.00725927  0.00132002]
t: 1.47808203141452, cost: 19.741921032302486, nfev: 96, v_opt: [0.09077702 0.014296   0.0019848 ]
t: 1.4985427379589535, cost: 19.737890643302396, nfev: 96, v_opt: [-0.02518669  0.00708256  0.00128289]
t: 1.504343228889987, cost: 19.736391300468707, nfev: 96, v_opt: [-0.02913234  0.00650422  0.00120496]
t: 1.4924768233790306, cost: 19.738393689945244, nfev: 96, v_opt: [0.06676509 0.01266077 0.00174849]
t: 1.5157494364489912, cost: 19.733609240939792, nfev: 96, v_opt: [-0.03660338  0.00577399  0.00111907]
t: 1.5225984619888855, cost: 19.731751584692795, nfev: 96, v_opt: [-0.03110297  0.00649548  0.0012239 ]
t: 1.527837261067586, cost: 19.730465684160308, nfev: 96, v_opt: [-0.03613364  0.00592757  0.00114605]
t: 1.5353348276558156, cost: 19.728527054984564, nfev: 96, v_opt: [-0.03614156  0.00599988  0.00116538]
t: 1.5410918384150765, cost: 19.727030263300392, nfev: 96, v_opt: [-0.03528657  0.00616627  0.00119318]
t: 1.5508653041046294, cost: 19.724504927867123, nfev: 96, v_opt: [-0.03440142  0.00636692  0.00123621]
t: 1.559447832150194, cost: 19.722294149677566, nfev: 96, v_opt: [-0.0338032   0.00653738  0.00127444]
t: 1.575421950597334, cost: 19.718187629702932, nfev: 96, v_opt: [-0.0320681   0.00692946  0.00136094]
t: 1.5807466567463806, cost: 19.716818316269453, nfev: 96, v_opt: [-0.03077377  0.00698274  0.00136047]
t: 1.5940120928194275, cost: 19.713430945958237, nfev: 96, v_opt: [-0.02974603  0.00720622  0.00140736]
t: 1.6053507538107072, cost: 19.710538956530137, nfev: 96, v_opt: [-0.02873255  0.00740491  0.00145031]
t: 1.6260704145117872, cost: 19.705259993123683, nfev: 96, v_opt: [-0.02607797  0.0079098   0.0015376 ]
t: 1.6329769680788138, cost: 19.703497716403785, nfev: 96, v_opt: [-0.02468061  0.00814738  0.0015704 ]
t: 1.619300889342746, cost: 19.706984139418317, nfev: 96, v_opt: [-0.02699138  0.00773747  0.00150897]
t: 1.6487203638841934, cost: 19.69887001071756, nfev: 96, v_opt: [0.0276088  0.01073705 0.00156156]
t: 1.6382002810167728, cost: 19.70218901711286, nfev: 96, v_opt: [-0.02523768  0.00803502  0.00154908]
t: 1.6542516433017358, cost: 19.699120670706915, nfev: 96, v_opt: [-0.10182531  0.00069367  0.00053492]
t: 1.6602347688951467, cost: 19.696517794662125, nfev: 97, v_opt: [-0.02135238  0.01187571  0.00185779]
t: 1.6730111579558322, cost: 19.69315683990722, nfev: 84, v_opt: [0. 0. 0.]
t: 1.679388708797455, cost: 19.692596921422428, nfev: 96, v_opt: [-0.08895912  0.00176284  0.00064705]
t: 1.6858343359284824, cost: 19.689116599370067, nfev: 96, v_opt: [0.0653574  0.01287135 0.00180201]
t: 1.691040685010209, cost: 19.688584326868096, nfev: 84, v_opt: [0. 0. 0.]
t: 1.714265754025214, cost: 19.682551355378006, nfev: 84, v_opt: [0. 0. 0.]
t: 1.7194823245589288, cost: 19.681663012010322, nfev: 96, v_opt: [-0.06687472  0.00368217  0.00088061]
t: 1.7026557716436, cost: 19.685613106786754, nfev: 84, v_opt: [0. 0. 0.]
t: 1.7077308690025015, cost: 19.684986620098655, nfev: 96, v_opt: [-0.06055127  0.00472605  0.00105501]
t: 1.7374775753386138, cost: 19.67657024078963, nfev: 84, v_opt: [0. 0. 0.]
t: 1.7457597913860288, cost: 19.674454903782426, nfev: 84, v_opt: [0. 0. 0.]
t: 1.796607833108823, cost: 19.661436904023724, nfev: 84, v_opt: [0. 0. 0.]
t: 1.82203185397022, cost: 19.654953273894673, nfev: 84, v_opt: [0. 0. 0.]
t: 1.9491519582772057, cost: 19.622974167648596, nfev: 84, v_opt: [0. 0. 0.]
t: 1.971751087931781, cost: 19.61796234910457, nfev: 84, v_opt: [0. 0. 0.]
t: 2.0, cost: 19.610717915522645, nfev: 84, v_opt: [0. 0. 0.]
Simulation saved to MPC_CAEDM5.dill
Simulation time: 23024.599126 s
 -- DONE -- 
Total execution time: 23024.599186 s
