nohup: ignoring input
Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Solving IVP
t: 2.213813021714938e-06, error: 199.98888700465892, nfev: 10, res.x: -51.97334262446373
t: 2.3024296934407377e-06, error: 199.99131337033384, nfev: 10, res.x: -51.97334262446373
t: 2.318183768414213e-06, error: 199.99708874483855, nfev: 10, res.x: -82.07837363781445
t: 2.3378763621310577e-06, error: 199.99643069165762, nfev: 10, res.x: -70.00733137435857
t: 2.3378763621310577e-06, error: 199.98840364608895, nfev: 10, res.x: -70.00733137435857
t: 2.3721306637085927e-06, error: 199.98808392458534, nfev: 10, res.x: -70.00733137435857
t: 2.38925781449736e-06, error: 199.98792406402515, nfev: 10, res.x: -88.04132012425342
t: 2.474893568441197e-06, error: 199.98566058617246, nfev: 10, res.x: -88.67257583746114
t: 2.4901177024756574e-06, error: 199.98306157446018, nfev: 10, res.x: -70.00733137435857
t: 2.509147870018732e-06, error: 199.98301874694238, nfev: 10, res.x: -70.00733137435857
t: 2.509147870018732e-06, error: 199.98634256460682, nfev: 10, res.x: -51.97334262446373
t: 2.5431922978655825e-06, error: 199.98610666049512, nfev: 10, res.x: -70.00733137435857
t: 2.5602145117890077e-06, error: 199.9858966214925, nfev: 10, res.x: -70.00733137435857
t: 2.645325581406134e-06, error: 199.98547170978446, nfev: 10, res.x: -51.97334262446373
t: 2.660456438226956e-06, error: 199.98601970821034, nfev: 10, res.x: 54.41252825119872
t: 2.6793700092529843e-06, error: 199.98526026615096, nfev: 10, res.x: -22.291236000336493
t: 2.6793700092529843e-06, error: 199.9842890603401, nfev: 10, res.x: -51.97334262446373
t: 2.5350353782599346e-06, error: 199.98616318222668, nfev: 10, res.x: -51.97334262446373
t: 2.5479791323805356e-06, error: 199.98607349109693, nfev: 10, res.x: -51.97334262446373
t: 2.6126979029835414e-06, error: 199.98562503605163, nfev: 10, res.x: -70.00733137435857
t: 2.6242034622018537e-06, error: 199.98563581482642, nfev: 10, res.x: -51.97334262446373
t: 2.638585411224744e-06, error: 199.9853590095165, nfev: 10, res.x: -51.97334262446373
t: 2.638585411224744e-06, error: 199.9852430411117, nfev: 10, res.x: -51.97334262446373
t: 2.6644729194659462e-06, error: 199.98506365971787, nfev: 10, res.x: -22.291236000336493
t: 2.6774166735865472e-06, error: 199.9850892198217, nfev: 10, res.x: -22.291236000336493
t: 2.742135444189553e-06, error: 199.9844344544396, nfev: 10, res.x: 98.37387624884332
t: 2.7536410034078654e-06, error: 199.9827831595699, nfev: 10, res.x: 98.37387624884332
t: 2.7680229524307555e-06, error: 199.98341058899, nfev: 10, res.x: 53.59946637562038
t: 2.7680229524307555e-06, error: 199.98566756346813, nfev: 10, res.x: 60.73908706237907
t: 2.798467695040985e-06, error: 199.98591410406686, nfev: 10, res.x: 53.59946637562038
t: 2.8136900663461e-06, error: 199.98600477217204, nfev: 10, res.x: 71.63345512551524
t: 2.889801922871674e-06, error: 199.98798083366475, nfev: 10, res.x: 53.59946637562038
t: 2.9033329195873317e-06, error: 199.99065757432203, nfev: 10, res.x: 53.59946637562038
t: 2.9202466654819035e-06, error: 199.9904276010486, nfev: 10, res.x: 71.63345512551524
t: 2.9202466654819035e-06, error: 199.98698092741924, nfev: 10, res.x: 82.77907312568348
t: 2.979480423326914e-06, error: 199.98763466133823, nfev: 10, res.x: 82.77907312568348
t: 3.009097302249419e-06, error: 199.98796152909927, nfev: 10, res.x: 24.419859625557294
t: 3.1571816968619442e-06, error: 199.98140248954564, nfev: 10, res.x: 53.59946637562038
t: 3.183507811459727e-06, error: 199.96758647587814, nfev: 10, res.x: 53.59946637562038
t: 3.2164154547069546e-06, error: 199.96972069362744, nfev: 10, res.x: 24.419859625557294
t: 3.2164154547069546e-06, error: 199.98853391732854, nfev: 10, res.x: 53.59946637562038
t: 2.973021803506533e-06, error: 199.9875633806168, nfev: 10, res.x: 65.14210418177231
t: 2.9994093725188476e-06, error: 199.98771499735886, nfev: 10, res.x: 24.419859625557294
t: 3.1313472175804213e-06, error: 199.9843271798336, nfev: 10, res.x: 83.68810393753681
t: 3.154802834480257e-06, error: 199.97658782440016, nfev: 10, res.x: 24.419859625557294
t: 3.184122355605051e-06, error: 199.97885264730007, nfev: 10, res.x: 72.24831738728865
t: 3.184122355605051e-06, error: 199.98960504940828, nfev: 10, res.x: 71.63345512551524
t: 2.959122314102059e-06, error: 199.9874099786356, nfev: 10, res.x: 53.298415505911706
t: 2.9785601384121364e-06, error: 199.9874526033476, nfev: 10, res.x: 65.14210418177231
t: 3.0757492599625247e-06, error: 199.98992429606994, nfev: 10, res.x: 53.59946637562038
t: 3.0930273260159273e-06, error: 199.99347731810124, nfev: 10, res.x: 53.59946637562038
t: 3.1146249085826803e-06, error: 199.9932705632916, nfev: 10, res.x: 53.59946637562038
t: 3.1146249085826803e-06, error: 199.98857329167703, nfev: 10, res.x: 83.68810393753681
t: 3.1535005572028358e-06, error: 199.98900705793906, nfev: 10, res.x: 71.63345512551524
t: 3.172938381512913e-06, error: 199.98915365037914, nfev: 10, res.x: 72.24831738728865
t: 3.2701275030633015e-06, error: 199.9904205579337, nfev: 10, res.x: 72.24831738728865
t: 3.287405569116704e-06, error: 199.99129775805403, nfev: 10, res.x: 72.49956732432071
t: 3.309003151683457e-06, error: 199.99145914102792, nfev: 10, res.x: 71.63345512551524
t: 3.309003151683457e-06, error: 199.9904684966482, nfev: 10, res.x: 65.14210418177231
